full_name,season,games_started,games_played,avg_turnovers,avg_steals,avg_twos_made,avg_two_twos_pct,avg_threes_made,avg_threes_pct,avg_free_throws_made,avg_free_throws_pct,avg_minutes,avg_points,avg_rebounds,avg_assists
Justin Johnson,2017,39,39,1.5,0.7,5.0,54.2,1.2,39.8,1.8,35.9,34.1,15.4,9.3,1.2
Jalen Hayes,2017,34,34,2.3,1.0,6.9,52.9,0.2,12.8,3.9,75.9,34.8,18.2,7.9,1.9
Mike Thomas,2017,31,31,1.6,0.2,4.6,56.1,0.2,11.5,3.8,59.6,23.3,13.6,6.1,1.1
Chris Lewis,2017,33,33,1.8,0.5,5.3,61.1,0.0,0.0,2.1,54.3,26.2,12.6,5.7,1.2
Hassan Attia,2016,32,32,2.2,0.9,2.9,52.6,0.0,0.0,0.9,24.7,20.6,6.6,6.4,0.5
Iba Camara,2016,32,32,2.0,0.5,3.8,54.5,0.0,0.0,1.7,43.0,24.8,9.4,9.5,1.0
Lukas Meisner,2017,27,27,1.8,0.5,2.4,53.5,1.7,36.1,1.0,34.3,26.5,10.8,7.2,1.8
Chad Posthumus,2013,34,34,1.7,0.3,4.3,65.9,0.0,0.0,3.7,36.7,31.3,12.3,11.7,0.0
Matej Kavas,2017,34,34,2.0,0.4,2.4,43.1,2.8,46.9,2.1,63.5,31.5,15.2,5.1,1.2
Roberto Asencio,2013,34,34,,,,,,,,,,,,
Geno Luzcando,2016,31,31,2.5,2.0,3.2,54.7,0.7,29.4,1.9,46.8,30.4,10.6,5.1,1.0
Murphy Burnatowski,2013,31,31,2.3,0.3,1.7,27.3,1.3,24.8,3.3,51.6,34.3,10.7,6.7,2.0
Rokas Gustys,2014,34,34,1.1,0.8,2.2,0.5,0.0,0.0,0.8,25.3,16.5,5.2,5.7,0.8
Marc Gosselin,2017,32,32,1.9,1.1,2.4,49.6,0.9,32.4,1.2,44.8,26.3,8.8,6.3,1.5
Clancy Rugg,2013,33,33,2.0,1.0,5.3,58.7,0.0,0.0,2.0,61.1,31.0,12.7,6.7,0.7
Ricardo Glenn,2013,34,34,2.3,0.0,4.3,56.7,0.0,0.0,4.0,75.0,25.5,12.5,6.5,2.3
Vince Martin,2013,30,30,2.5,3.0,2.5,33.9,1.3,37.5,1.5,44.2,31.5,10.3,7.0,4.8
Matt Mazzara,2013,31,31,,,,,,,,,,,,
Rob Loe,2013,34,34,1.8,0.7,2.6,52.1,1.2,26.4,2.4,62.3,28.3,11.0,5.9,2.1
Sheldon Lowman,2013,31,31,,,,,,,,,,,,
Glenn Bryant,2013,37,37,0.8,0.8,3.8,68.1,0.0,0.0,2.0,50.0,25.4,9.6,6.2,0.2
Shayne Whittington,2013,33,33,1.7,1.3,4.7,53.8,0.0,0.0,3.7,83.3,31.0,13.0,7.3,0.3
Jarmar Gulley,2013,33,33,2.2,1.8,3.7,40.6,0.7,17.8,2.8,77.8,26.3,12.2,5.7,1.5
Josh Davis,2013,36,36,1.3,1.0,2.8,39.2,0.0,0.0,1.3,27.2,29.4,6.9,9.5,0.7
Trinity Hall,2013,30,30,2.7,0.0,1.7,41.1,1.0,28.9,3.7,73.2,25.3,10.0,6.3,0.7
Sam Dower,2013,36,36,1.3,0.3,4.5,53.5,0.1,13.0,2.0,51.8,23.0,11.4,6.3,1.0
Ryan Nicholas,2013,31,31,2.0,0.5,4.3,48.0,0.3,25.0,2.8,82.5,29.5,12.0,10.8,1.8
Brendan Lane,2013,31,31,1.0,0.0,3.0,60.0,0.0,0.0,2.0,28.6,26.0,8.0,8.0,0.0
Jerry Brown,2013,33,33,1.0,0.3,1.7,36.7,0.0,0.0,2.0,45.0,27.7,5.3,7.0,0.7
Rod Rucker,2013,31,31,2.7,0.0,3.2,33.0,0.0,0.0,5.0,67.2,34.7,11.3,9.3,2.0
Fahro Alihodzic,2013,31,31,1.3,0.2,4.3,46.5,0.0,0.0,2.0,76.2,28.5,10.7,8.2,0.7
Shawn Jones,2013,33,33,1.7,0.7,4.3,50.1,0.0,0.0,0.7,33.3,26.7,9.3,7.7,0.3
Antonio Biglow,2013,31,31,,,,,,,,,,,,
Andre Winston Jr.,2013,32,32,,,,,,,,,,,,
Derrick Barden,2013,32,32,1.0,3.0,8.0,57.1,0.0,0.0,0.0,0.0,33.0,16.0,17.0,0.0
Chris Udofia,2013,31,31,5.0,0.5,3.0,85.7,2.0,83.3,2.0,20.0,38.5,14.0,6.5,2.5
Chris Patton,2013,30,30,,,,,,,,,,,,
Tre Owens,2013,30,30,,,,,,,,,,,,
Dan Jennings,2013,31,31,2.0,0.9,5.0,51.3,0.0,0.0,1.5,21.8,27.8,11.5,6.5,0.2
Dom Morris,2013,35,35,0.7,1.0,4.3,57.9,0.3,33.3,3.3,82.1,33.0,13.0,5.7,0.7
Jayon James,2013,27,27,0.5,1.3,2.0,25.3,0.0,0.0,1.8,66.7,26.5,5.8,5.8,3.3
Dartaye Ruffin,2013,30,30,1.3,0.5,2.3,48.8,0.0,0.0,0.8,25.0,31.8,5.3,8.3,0.5
Paul Perez,2013,27,27,,,,,,,,,,,,
Ian Markolf,2013,27,27,,,,,,,,,,,,
Joseph Louwagie III,2013,27,27,,,,,,,,,,,,
Prince Oduro,2017,32,32,2.1,0.2,3.9,51.8,0.0,0.0,1.3,33.5,25.6,9.1,5.1,0.7
Simon Okolue,2017,32,32,1.6,0.6,5.0,59.9,0.0,0.0,1.6,44.5,26.7,11.5,7.1,0.3
Jahad Thomas,2014,29,29,3.2,1.3,5.4,0.5,0.2,15.9,2.9,58.8,32.1,14.3,6.5,1.5
Jahad Thomas,2017,30,30,3.5,1.8,7.2,54.3,0.6,36.4,4.9,70.8,36.3,21.1,8.4,4.0
ShunQuez Stephens,2014,36,36,1.2,0.8,1.9,0.5,0.6,25.9,1.2,42.1,22.1,7.0,6.1,1.3
Jamail Jones,2013,35,35,3.6,0.8,3.2,47.5,0.6,18.3,2.2,65.0,35.0,10.4,6.6,0.4
Malik Harmon,2013,31,31,,,,,,,,,,,,
Rasheem Dunn,2017,31,31,2.0,1.4,3.8,46.1,1.4,26.6,3.5,60.4,30.8,15.2,5.7,2.3
Mike Holloway,2015,33,33,1.0,0.6,3.7,0.6,0.0,0.0,2.0,44.5,23.8,9.4,5.7,0.8
Steve Zack,2013,31,31,1.3,0.2,4.7,50.3,0.0,0.0,0.8,38.9,33.3,10.2,10.8,0.5
Jerrell Wright,2013,31,31,1.7,0.2,6.2,64.3,0.0,0.0,2.7,40.4,28.0,15.0,6.8,0.2
B.J. Johnson,2017,32,32,2.3,1.2,5.1,45.7,1.6,35.8,4.3,77.8,32.7,19.3,7.8,0.7
A.J. Davis,2016,36,36,2.1,0.8,1.8,35.2,0.5,18.8,2.5,57.3,29.8,7.6,6.4,2.2
Kentrell Barkley,2017,30,30,1.8,1.0,2.8,42.8,0.7,22.5,1.7,44.6,25.6,9.5,5.8,1.8
Josh Okogie,2017,32,32,2.3,1.6,3.5,39.1,1.4,36.0,4.9,69.2,32.4,16.2,5.6,2.2
Miye Oni,2017,31,31,2.7,0.9,3.3,49.1,1.9,27.6,2.3,50.2,31.7,14.6,5.8,3.5
Patrick Tape,2017,27,27,1.4,0.6,1.9,47.4,0.0,0.0,0.6,25.7,17.2,4.4,5.1,0.5
Evan Boudreaux,2015,28,28,2.6,0.8,4.7,0.5,1.0,31.1,5.2,75.2,32.1,17.7,9.4,1.1
Tahjai Teague,2016,34,34,1.5,1.2,2.3,47.1,0.5,27.1,1.2,39.8,19.0,7.3,5.8,0.8
Logan McLane,2016,32,32,1.7,1.1,4.3,56.7,0.3,11.1,2.3,53.3,27.6,11.8,6.5,1.5
Richaun Holmes,2014,33,33,1.9,0.7,4.7,0.6,0.6,25.9,3.5,72.6,28.8,14.7,8.0,0.8
Spencer Krannitz,2013,31,31,,,,,,,,,,,,
Kevin McKay,2017,36,36,1.9,1.8,4.1,55.5,0.4,19.8,2.7,62.8,27.1,12.2,6.5,1.9
James Thompson IV,2016,33,33,2.0,0.8,5.5,55.8,0.0,3.1,3.7,69.1,30.9,14.8,11.2,1.0
Donte Ingram,2016,32,32,1.2,0.9,2.9,53.9,1.7,34.4,1.6,48.2,30.5,12.7,6.4,1.3
Seth Tuttle,2013,31,31,2.4,0.2,4.2,38.6,0.4,13.3,3.6,58.2,31.8,13.2,9.8,1.2
Chandler Hutchison,2017,32,32,3.4,1.5,5.1,52.4,1.5,31.0,5.3,66.8,31.0,20.0,7.7,3.5
Londell King,2017,29,29,2.0,0.6,2.7,56.4,0.5,23.2,1.7,47.3,19.9,8.5,6.6,0.7
Lamontray Harris,2017,29,29,2.1,0.5,3.4,53.0,0.7,25.3,2.2,61.4,23.2,11.0,6.3,0.9
Fatodd Lewis,2017,31,31,2.0,1.0,4.0,49.1,0.7,21.8,2.1,41.3,29.2,12.4,7.3,1.3
Robert Williams,2017,35,35,1.5,0.7,4.1,59.3,0.0,0.0,1.0,32.8,22.6,9.1,8.1,1.3
Akolda Manyang,2017,34,34,2.4,0.4,4.8,59.0,0.0,0.0,3.4,59.2,21.6,13.1,8.1,0.8
Joshua Braun,2013,30,30,,,,,,,,,,,,
Deionte Simmons,2017,32,32,1.7,0.8,4.5,56.2,0.0,0.0,3.0,67.4,22.8,12.0,5.9,0.2
Zach Lofton,2017,34,34,2.1,1.1,3.9,52.0,2.6,33.9,4.3,73.3,32.0,20.0,5.1,1.7
Connor Cashaw,2017,31,31,2.1,1.4,3.6,40.3,1.7,28.4,3.3,64.0,33.7,15.5,7.1,3.2
Terry Winn,2015,33,33,1.4,0.5,3.8,0.5,0.0,0.0,2.4,46.3,23.2,10.0,6.4,0.6
Eddie Davis III,2015,29,29,1.1,0.6,2.4,0.5,1.0,23.9,1.6,46.3,21.3,9.4,5.7,0.8
Brian Parker,2016,32,32,3.3,0.8,3.9,46.4,0.4,14.4,3.9,66.1,30.5,12.9,5.9,3.1
Matt Scott,2015,32,32,3.2,1.3,3.7,1.4,1.1,30.0,4.5,69.4,33.1,15.4,7.1,2.5
Tiwian Kendley,2016,30,30,4.1,1.2,3.8,39.8,2.0,31.9,6.6,75.5,31.0,20.2,5.1,1.2
Nick Davis,2013,32,32,,,,,,,,,,,,
Devonte' Neal,2013,32,32,,,,,,,,,,,,
Travon Bunch,2017,31,31,,,,,,,,,,,,
James Currington,2013,32,32,0.6,2.0,3.4,49.0,0.0,0.0,2.1,47.6,24.1,8.9,6.6,0.1
Kadeem Jack,2013,33,33,1.9,0.7,5.4,51.2,0.1,6.3,3.3,60.8,29.3,14.3,6.8,0.7
Devin Kirby,2017,32,32,,,,,,,,,,,,
Jordan Scott,2013,34,34,,,,,,,,,,,,
Cole Stefan,2013,25,25,,,,,,,,,,,,
Dale Jones,2017,32,32,1.6,0.6,1.7,46.8,2.3,33.7,1.6,56.9,26.1,11.8,6.5,1.0
Brandon Hollins,2017,34,34,1.2,1.0,3.5,53.3,0.1,9.4,1.8,47.1,24.1,9.8,7.2,0.7
Paul Miller,2017,32,32,3.1,1.0,4.5,51.7,2.2,33.8,3.9,73.6,33.8,19.5,5.8,3.4
David Samuels,2013,31,31,0.9,0.4,2.1,36.1,0.4,23.3,1.5,52.5,29.5,6.9,6.6,1.3
Jamar Akoh,2015,30,30,1.9,0.4,2.1,0.4,0.0,1.7,1.9,46.0,26.3,6.1,6.3,1.5
Jaleel Hogan,2016,31,31,2.3,0.5,5.8,59.0,0.0,0.0,3.6,53.6,26.4,15.2,5.8,1.0
Justin Mitchell,2017,34,34,3.1,1.6,3.2,35.0,0.2,11.7,2.0,40.6,22.1,9.4,5.7,2.6
Tarkus Ferguson,2017,36,36,2.5,1.1,1.8,35.4,1.4,29.4,2.3,51.2,27.3,10.2,5.1,4.9
Tom Lacey,2017,32,32,1.7,0.8,2.8,46.8,0.0,1.6,2.8,62.3,26.1,8.6,6.5,1.6
Zach Thomas,2015,31,31,1.6,0.7,2.4,0.5,1.1,27.1,2.2,50.0,20.9,10.3,5.7,1.4
Nana Foulland,2016,35,35,2.1,0.8,5.8,60.9,0.0,0.0,3.1,51.8,26.8,15.0,7.5,1.2
Deven Simms,2017,32,32,2.6,1.3,4.6,48.3,1.2,32.9,3.5,54.7,29.4,16.4,5.8,1.6
JaKeenan Gant,2017,34,34,1.2,0.6,4.6,60.5,0.9,27.5,1.7,52.3,25.5,13.7,5.7,0.9
Bryce Washington,2015,34,34,1.4,0.8,3.4,0.6,0.1,3.6,1.7,36.7,25.7,8.7,5.7,1.4
Ed Polite Jr. ,2016,32,32,2.2,1.8,4.0,50.9,0.2,10.8,3.4,62.8,31.9,11.8,9.5,1.9
Ryan Daly,2016,33,33,1.2,0.8,4.0,49.5,1.9,31.9,2.2,59.3,33.5,16.0,7.4,2.1
Joshua Phillips,2017,28,28,1.5,0.3,3.6,53.6,0.0,0.0,1.7,39.3,23.5,8.8,5.9,0.5
Sean Rhea,2017,29,29,2.2,0.8,3.4,51.6,0.1,9.3,2.4,51.4,26.4,9.4,5.6,0.5
Denzel Livingston,2013,27,27,,,,,,,,,,,,
Josh Ibarra,2017,31,31,2.0,0.3,5.8,53.2,0.0,0.0,2.8,51.3,23.6,14.4,9.0,2.2
Josh Ibarra,2014,28,28,1.2,0.4,2.7,0.6,0.0,0.0,0.7,33.0,16.6,6.1,6.5,0.6
Jacob Parker,2013,35,35,1.3,1.3,3.7,26.2,0.7,33.3,2.3,91.7,33.3,11.7,5.7,2.3
Moses Greenwood,2017,34,34,1.8,0.4,4.1,53.6,0.1,12.1,1.6,48.3,22.0,10.2,5.6,0.4
Devonte Upson,2013,29,29,0.8,0.5,3.0,58.0,0.0,0.0,0.3,12.5,26.3,6.3,6.3,1.3
James Siakam,2014,35,35,1.3,0.9,2.8,0.6,0.1,4.3,3.2,57.8,24.3,8.9,5.7,0.6
Junior Etou,2014,32,32,1.2,0.4,1.8,0.4,0.7,26.6,1.4,42.5,29.6,7.2,6.4,0.6
